462809,0,0,22,0,5,1,0,4,4,3
466315,1,1,67,1,2,1,0,1,6,1
461735,0,1,67,1,7,0,2,2,6,1
461319,0,1,56,0,0,0,1,2,6,2
460156,0,0,32,1,5,1,0,3,6,2
464347,1,0,33,1,5,1,0,3,6,3
465015,1,1,61,1,2,0,0,3,7,3
465176,1,1,55,1,0,1,1,4,6,2
464041,1,0,26,1,2,1,0,3,6,0
464942,0,0,19,0,5,4,0,4,4,3
460849,1,1,58,0,1,0,0,1,3,1
460563,1,0,41,0,5,1,0,2,1,2
466865,1,0,32,0,6,9,0,5,3,3
461644,0,0,31,0,5,1,0,6,6,1
466772,0,1,58,1,3,1,1,4,6,1
464291,1,1,79,1,0,0,2,1,6,2
466084,0,1,49,1,6,12,0,1,3,0
459675,1,0,18,0,5,3,0,4,6,3
465602,0,1,33,1,0,13,0,2,3,0
459168,1,0,36,1,0,5,0,2,6,1
465083,0,1,56,0,0,1,1,3,6,2
467604,0,0,31,0,5,9,0,8,4,0
459717,0,1,49,1,0,1,1,3,6,2
465882,0,0,35,1,0,0,0,1,6,1
461996,1,0,35,0,0,5,0,4,6,2
463331,1,1,45,1,0,0,0,3,6,2
462216,1,1,42,0,1,1,0,2,4,0
462454,0,0,19,0,5,1,0,3,2,3
459861,1,1,83,0,7,1,2,2,6,3
467917,1,0,27,1,5,3,0,4,1,3
465572,0,0,32,0,1,5,0,1,4,3
460593,1,1,28,0,5,1,1,5,3,3
465891,1,1,28,1,0,8,0,2,6,0
462044,1,0,47,1,0,4,0,1,6,1
465686,1,0,22,0,5,0,0,2,6,3
464590,1,0,27,1,0,14,0,3,6,0
466152,0,1,40,0,2,8,0,1,6,0
465729,0,1,41,1,0,0,1,4,4,1
462442,0,0,19,0,5,0,0,4,6,3
464191,1,0,45,1,2,1,0,1,6,0
462078,1,1,61,0,0,1,1,2,2,1
467873,1,1,36,1,0,1,1,2,6,2
461270,0,1,40,1,0,1,0,1,3,0
462960,1,1,57,1,3,0,1,2,6,2
