458989,1,1,36,1,2,0,0,1,6,1
458994,0,1,37,1,5,8,1,4,6,0
459000,0,1,59,0,4,11,2,2,6,1
459003,0,1,47,1,1,0,2,5,4,2
459005,0,1,61,1,1,5,0,3,6,3
459008,1,1,47,1,0,1,1,3,6,3
459013,0,1,50,1,0,2,1,4,6,1
459014,0,0,19,0,5,0,0,4,6,1
459015,0,0,22,0,5,0,0,3,6,3
459016,1,0,22,0,5,0,0,6,6,3
459024,0,1,50,1,0,1,1,5,6,0
459026,0,0,27,0,5,8,0,3,3,3
459032,0,0,18,0,1,0,0,3,6,3
459033,1,1,61,1,0,0,0,1,6,2
459036,1,1,20,1,7,1,1,3,3,3
459039,0,1,45,1,0,1,1,2,6,1
459041,0,1,55,1,0,8,0,1,6,1
459045,1,1,88,1,7,1,1,4,6,2
459058,0,0,42,1,0,0,0,4,3,0
459061,1,1,35,1,5,9,2,3,6,1
459064,0,1,27,0,4,5,2,4,6,1
459074,1,0,29,1,5,0,0,4,4,1
459077,1,1,79,0,7,1,2,2,6,0
459080,0,1,89,0,7,1,0,2,6,2
459090,0,0,31,0,0,1,0,2,6,1
459091,0,1,72,1,0,1,1,6,1,3
459100,1,0,61,1,0,11,0,1,6,2
459106,0,1,62,1,0,0,0,2,6,0
459114,0,1,56,1,0,1,1,2,6,1
459116,0,1,60,1,0,2,1,5,6,2
459117,0,1,68,1,0,0,2,2,6,1
459119,0,1,57,1,4,8,2,3,6,3
459120,0,0,19,0,5,5,0,5,2,0
459121,1,1,51,1,0,3,1,6,6,2
459123,1,1,86,0,0,1,2,2,6,0
459130,1,1,74,0,7,1,2,2,6,2
459132,0,0,23,0,3,6,0,2,6,1
459136,0,1,47,1,0,0,1,2,6,3
459140,1,0,19,0,5,7,0,6,6,3
459143,0,1,50,0,0,0,2,4,6,1
459150,1,0,48,1,1,0,0,1,6,0
459160,0,1,70,1,1,1,1,2,6,1
459161,0,1,50,1,4,3,2,5,6,3
459162,1,1,83,1,7,0,2,2,6,2
459163,0,0,35,1,3,0,0,1,6,0
459167,1,0,36,1,0,0,0,2,5,3
459170,1,0,35,1,0,1,0,1,6,1
459171,0,1,35,1,0,0,1,2,6,3
459172,0,0,18,0,5,3,0,3,2,2
